sample_id,company_name,stock_code,exchange,board,listing_date,ipo_year,source_platform,source_page_url,prospectus_title,prospectus_url,prospectus_version,prospectus_date,download_status,parse_status,locate_status,extract_status,review_status,notes
W2-STAR001,北京海博思创科技股份有限公司,688411,SSE,科创板,2025-01-27,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688411,海博思创首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-01-22/1222389596.PDF,正式稿,2025-01-22,success,success,success,success,pass,2025年科创板样本；简称：海博思创；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR002,湖北兴福电子材料股份有限公司,688545,SSE,科创板,2025-01-22,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688545,兴福电子首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-01-17/1222355547.PDF,正式稿,2025-01-17,success,success,success,success,pass,2025年科创板样本；简称：兴福电子；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR003,思看科技(杭州)股份有限公司,688583,SSE,科创板,2025-01-15,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688583,思看科技首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-01-10/1222285798.PDF,正式稿,2025-01-10,success,success,success,success,pass,2025年科创板样本；简称：思看科技；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR004,厦门恒坤新材料科技股份有限公司,688727,SSE,科创板,2025-11-18,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688727,恒坤新材首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-11-13/1224802223.PDF,正式稿,2025-11-13,success,success,success,success,pass,2025年科创板样本；简称：恒坤新材；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR005,北京屹唐半导体科技股份有限公司,688729,SSE,科创板,2025-07-08,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688729,屹唐股份首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-07-03/1224068769.PDF,正式稿,2025-07-03,success,success,success,success,pass,2025年科创板样本；简称：屹唐股份；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR006,江苏汉邦科技股份有限公司,688755,SSE,科创板,2025-05-16,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688755,汉邦科技首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-05-13/1223528584.PDF,正式稿,2025-05-13,success,success,success,success,pass,2025年科创板样本；简称：汉邦科技；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR007,胜科纳米(苏州)股份有限公司,688757,SSE,科创板,2025-03-25,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688757,胜科纳米首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-03-20/1222846384.PDF,正式稿,2025-03-20,success,success,success,success,pass,2025年科创板样本；简称：胜科纳米；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR008,苏州赛分科技股份有限公司,688758,SSE,科创板,2025-01-10,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688758,赛分科技首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-01-06/1222238930.PDF,正式稿,2025-01-06,success,success,success,success,pass,2025年科创板样本；简称：赛分科技；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR009,广州必贝特医药股份有限公司,688759,SSE,科创板,2025-10-28,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688759,必贝特首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-10-23/1224726268.PDF,正式稿,2025-10-23,success,success,success,success,pass,2025年科创板样本；简称：必贝特；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR010,武汉禾元生物科技股份有限公司,688765,SSE,科创板,2025-10-28,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688765,禾元生物首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-10-20/1224719933.PDF,正式稿,2025-10-20,success,success,success,success,pass,2025年科创板样本；简称：禾元生物；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR011,影石创新科技股份有限公司,688775,SSE,科创板,2025-06-11,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688775,影石创新首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-06-06/1223788474.PDF,正式稿,2025-06-06,success,success,success,success,pass,2025年科创板样本；简称：影石创新；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR012,西安奕斯伟材料科技股份有限公司,688783,SSE,科创板,2025-10-28,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688783,西安奕材首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-10-22/1224723727.PDF,正式稿,2025-10-22,success,success,success,success,pass,2025年科创板样本；简称：西安奕材；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR013,北京昂瑞微电子技术股份有限公司,688790,SSE,科创板,2025-12-16,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688790,昂瑞微首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-12-11/1224867086.PDF,正式稿,2025-12-11,success,success,success,success,pass,2025年科创板样本；简称：昂瑞微；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR014,摩尔线程智能科技(北京)股份有限公司,688795,SSE,科创板,2025-12-05,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688795,摩尔线程首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-11-28/1224831699.PDF,正式稿,2025-11-28,success,success,success,success,pass,2025年科创板样本；简称：摩尔线程；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR015,百奥赛图(北京)医药科技股份有限公司,688796,SSE,科创板,2025-12-10,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688796,百奥赛图首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-12-04/1224848797.PDF,正式稿,2025-12-04,success,success,success,success,pass,2025年科创板样本；简称：百奥赛图；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR016,沐曦集成电路(上海)股份有限公司,688802,SSE,科创板,2025-12-17,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688802,沐曦股份首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-12-11/1224867078.PDF,正式稿,2025-12-11,success,success,success,success,pass,2025年科创板样本；简称：沐曦股份；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR017,宁波健信超导科技股份有限公司,688805,SSE,科创板,2025-12-24,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688805,健信超导首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-12-19/1224886206.PDF,正式稿,2025-12-19,success,success,success,success,pass,2025年科创板样本；简称：健信超导；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR018,厦门优迅芯片股份有限公司,688807,SSE,科创板,2025-12-19,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688807,优迅股份首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-12-12/1224870082.PDF,正式稿,2025-12-12,success,success,success,success,pass,2025年科创板样本；简称：优迅股份；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
W2-STAR019,强一半导体(苏州)股份有限公司,688809,SSE,科创板,2025-12-30,2025,巨潮资讯网/CNINFO,https://www.cninfo.com.cn/new/disclosure/stock?stockCode=688809,强一股份首次公开发行股票并在科创板上市招股说明书,https://static.cninfo.com.cn/finalpage/2025-12-25/1224897120.PDF,正式稿,2025-12-25,success,success,success,success,pass,2025年科创板样本；简称：强一股份；来源为前期巨潮资讯网抓取清单，第二周按市场口径整理。 URL规则校验通过。
